lat;lon;U;V
54.62;19.23;-5.77;2.78
54.63;19.23;-5.75;2.78
54.64;19.23;-5.72;2.78
54.65;19.23;-5.7;2.78
54.66;19.23;-5.67;2.78
54.67;19.23;-5.64;2.78
54.68;19.23;-5.61;2.78
54.69;19.23;-5.58;2.78
54.7;19.23;-5.56;2.78
54.7;19.23;-5.53;2.78
54.71;19.23;-5.5;2.78
54.72;19.23;-5.48;2.78
54.73;19.23;-5.46;2.78
54.74;19.23;-5.43;2.78
54.75;19.23;-5.41;2.78
54.76;19.23;-5.4;2.79
54.77;19.23;-5.39;2.78
54.78;19.23;-5.38;2.78
54.79;19.23;-5.37;2.78
54.79;19.23;-5.36;2.78
54.8;19.23;-5.35;2.77
54.81;19.23;-5.35;2.77
54.82;19.23;-5.34;2.77
54.83;19.23;-5.34;2.76
54.84;19.23;-5.34;2.76
54.85;19.23;-5.34;2.75
54.86;19.23;-5.35;2.75
54.87;19.23;-5.35;2.75
54.88;19.23;-5.36;2.75
54.88;19.23;-5.36;2.74
54.89;19.23;-5.36;2.74
54.9;19.23;-5.37;2.74
54.91;19.23;-5.37;2.74
54.92;19.23;-5.37;2.74
54.93;19.23;-5.37;2.74
54.94;19.23;-5.38;2.75
54.95;19.23;-5.38;2.75
54.96;19.23;-5.38;2.75
54.97;19.23;-5.38;2.76
54.97;19.23;-5.38;2.76
54.98;19.23;-5.39;2.76
54.99;19.23;-5.39;2.77
55;19.23;-5.4;2.77
55.01;19.23;-5.42;2.77
55.02;19.23;-5.43;2.77
55.03;19.23;-5.45;2.76
55.04;19.23;-5.46;2.76
55.05;19.23;-5.47;2.75
55.06;19.23;-5.48;2.75
55.06;19.23;-5.48;2.74
55.07;19.23;-5.48;2.74
55.08;19.23;-5.48;2.74
55.09;19.23;-5.48;2.75
55.1;19.23;-5.48;2.75
55.11;19.23;-5.49;2.75
55.12;19.23;-5.49;2.75
55.13;19.23;-5.5;2.76
55.14;19.23;-5.51;2.76
55.15;19.23;-5.52;2.76
55.15;19.23;-5.53;2.76
55.16;19.23;-5.55;2.76
55.17;19.23;-5.56;2.76
55.18;19.23;-5.57;2.76
55.19;19.23;-5.58;2.76
55.2;19.23;-5.59;2.76
55.21;19.23;-5.61;2.75
55.22;19.23;-5.61;2.75
55.23;19.23;-5.62;2.75
55.24;19.23;-5.63;2.75
55.24;19.23;-5.64;2.75
55.25;19.23;-5.66;2.75
55.26;19.23;-5.67;2.75
55.27;19.23;-5.68;2.75
55.28;19.23;-5.7;2.74
55.29;19.23;-5.71;2.74
55.3;19.23;-5.73;2.74
55.31;19.23;-5.75;2.74
55.32;19.23;-5.77;2.73
55.33;19.23;-5.79;2.73
55.33;19.23;-5.82;2.72
55.34;19.23;-5.85;2.71
55.35;19.23;-5.88;2.7
55.36;19.23;-5.91;2.68
55.37;19.23;-5.95;2.65
55.38;19.23;-6;2.62
55.39;19.23;-6.04;2.57
55.4;19.23;-6.09;2.51
55.41;19.23;-6.14;2.43
55.42;19.23;-6.18;2.32
55.42;19.23;-6.21;2.18
55.43;19.23;-6.19;1.99
55.44;19.23;-6.09;1.74
55.45;19.23;-5.82;1.4
55.46;19.23;-5.19;0.95
54.36;19.24;-8.91;0.5
54.37;19.24;-8.69;1.28
54.38;19.24;-8.46;1.73
54.39;19.24;-8.22;2.05
54.4;19.24;-7.96;2.31
54.41;19.24;-7.72;2.51
54.42;19.24;-7.5;2.67
54.43;19.24;-7.3;2.79
54.43;19.24;-7.11;2.88
54.44;19.24;-6.94;2.95
54.45;19.24;-6.79;3.01
54.46;19.24;-6.66;3.05
54.47;19.24;-6.54;3.08
54.48;19.24;-6.45;3.1
54.49;19.24;-6.38;3.11
54.5;19.24;-6.31;3.11
54.51;19.24;-6.26;3.11
54.52;19.24;-6.22;3.1
54.52;19.24;-6.19;3.09
54.53;19.24;-6.16;3.08
54.54;19.24;-6.14;3.07
54.55;19.24;-6.12;3.06
54.56;19.24;-6.09;3.05
54.57;19.24;-6.07;3.04
54.58;19.24;-6.05;3.04
54.59;19.24;-6.03;3.03
54.6;19.24;-6;3.03
54.61;19.24;-5.98;3.02
54.61;19.24;-5.96;3.02
54.62;19.24;-5.93;3.02
54.63;19.24;-5.91;3.02
54.64;19.24;-5.88;3.02
54.65;19.24;-5.85;3.02
54.66;19.24;-5.83;3.02
54.67;19.24;-5.8;3.02
54.68;19.24;-5.77;3.02
54.69;19.24;-5.74;3.02
54.7;19.24;-5.71;3.02
54.7;19.24;-5.69;3.02
54.71;19.24;-5.66;3.02
54.72;19.24;-5.63;3.02
54.73;19.24;-5.61;3.02
54.74;19.24;-5.59;3.03
54.75;19.24;-5.57;3.03
54.76;19.24;-5.55;3.03
54.77;19.24;-5.54;3.03
54.78;19.24;-5.52;3.03
54.79;19.24;-5.51;3.02
54.79;19.24;-5.51;3.02
54.8;19.24;-5.5;3.02
54.81;19.24;-5.49;3.01
54.82;19.24;-5.49;3.01
54.83;19.24;-5.49;3.01
54.84;19.24;-5.49;3
54.85;19.24;-5.49;3
54.86;19.24;-5.5;2.99
54.87;19.24;-5.5;2.99
54.88;19.24;-5.51;2.99
54.88;19.24;-5.52;2.99
54.89;19.24;-5.52;2.98
54.9;19.24;-5.53;2.98
54.91;19.24;-5.53;2.98
54.92;19.24;-5.53;2.98
54.93;19.24;-5.54;2.99
54.94;19.24;-5.54;2.99
54.95;19.24;-5.54;2.99
54.96;19.24;-5.54;2.99
54.97;19.24;-5.54;3
54.97;19.24;-5.54;3
54.98;19.24;-5.55;3.01
54.99;19.24;-5.55;3.01
55;19.24;-5.56;3.01
55.01;19.24;-5.57;3.01
55.02;19.24;-5.58;3.01
55.03;19.24;-5.59;3.01
55.04;19.24;-5.61;3
55.05;19.24;-5.62;3
55.06;19.24;-5.62;2.99
55.06;19.24;-5.63;2.99
55.07;19.24;-5.63;2.99
55.08;19.24;-5.64;2.99
55.09;19.24;-5.64;2.99
55.1;19.24;-5.64;2.99
55.11;19.24;-5.65;2.99
55.12;19.24;-5.65;2.99
55.13;19.24;-5.66;3
55.14;19.24;-5.67;3
55.15;19.24;-5.68;3
55.15;19.24;-5.69;3
55.16;19.24;-5.7;3
55.17;19.24;-5.71;3
55.18;19.24;-5.72;3
55.19;19.24;-5.73;3
55.2;19.24;-5.74;3
55.21;19.24;-5.75;3
55.22;19.24;-5.76;2.99
55.23;19.24;-5.77;2.99
55.24;19.24;-5.78;2.99
55.24;19.24;-5.79;2.99
55.25;19.24;-5.8;2.99
55.26;19.24;-5.82;2.99
55.27;19.24;-5.83;2.99
55.28;19.24;-5.84;2.99
55.29;19.24;-5.86;2.98
55.3;19.24;-5.88;2.98
55.31;19.24;-5.9;2.98
55.32;19.24;-5.92;2.97
55.33;19.24;-5.95;2.97
55.33;19.24;-5.97;2.96
55.34;19.24;-6;2.95
55.35;19.24;-6.03;2.94
55.36;19.24;-6.07;2.92
55.37;19.24;-6.12;2.89
55.38;19.24;-6.17;2.85
55.39;19.24;-6.22;2.8
55.4;19.24;-6.28;2.73
55.41;19.24;-6.33;2.64
55.42;19.24;-6.38;2.52
55.42;19.24;-6.41;2.36
55.43;19.24;-6.4;2.14
55.44;19.24;-6.29;1.86
55.45;19.24;-6.01;1.49
55.46;19.24;-5.35;1
54.36;19.26;-9.05;0.46
54.37;19.26;-8.88;1.2
54.38;19.26;-8.65;1.71
54.39;19.26;-8.4;2.08
54.4;19.26;-8.15;2.36
54.41;19.26;-7.89;2.59
54.42;19.26;-7.66;2.77
54.43;19.26;-7.44;2.91
54.43;19.26;-7.25;3.01
54.44;19.26;-7.07;3.09
54.45;19.26;-6.92;3.16
54.46;19.26;-6.78;3.2
54.47;19.26;-6.66;3.24
54.48;19.26;-6.56;3.26
54.49;19.26;-6.47;3.28
54.5;19.26;-6.41;3.28
54.51;19.26;-6.36;3.28
54.52;19.26;-6.31;3.27
54.52;19.26;-6.28;3.27
54.53;19.26;-6.25;3.26
54.54;19.26;-6.22;3.25
54.55;19.26;-6.2;3.24
54.56;19.26;-6.18;3.23
54.57;19.26;-6.15;3.22
54.58;19.26;-6.13;3.21
54.59;19.26;-6.11;3.21
54.6;19.26;-6.09;3.2
54.61;19.26;-6.06;3.2
54.61;19.26;-6.04;3.2
54.62;19.26;-6.01;3.19
54.63;19.26;-5.98;3.19
54.64;19.26;-5.96;3.19
54.65;19.26;-5.93;3.19
54.66;19.26;-5.91;3.19
54.67;19.26;-5.88;3.19
54.68;19.26;-5.85;3.2
54.69;19.26;-5.82;3.2
54.7;19.26;-5.79;3.2
54.7;19.26;-5.76;3.2
54.71;19.26;-5.74;3.2
54.72;19.26;-5.71;3.2
54.73;19.26;-5.69;3.21
54.74;19.26;-5.67;3.21
54.75;19.26;-5.64;3.21
54.76;19.26;-5.62;3.21
54.77;19.26;-5.61;3.21
54.78;19.26;-5.59;3.21
54.79;19.26;-5.58;3.21
54.79;19.26;-5.57;3.21
54.8;19.26;-5.57;3.2
54.81;19.26;-5.56;3.2
54.82;19.26;-5.56;3.19
54.83;19.26;-5.56;3.19
54.84;19.26;-5.56;3.19
54.85;19.26;-5.57;3.18
54.86;19.26;-5.57;3.18
54.87;19.26;-5.58;3.18
54.88;19.26;-5.59;3.17
54.88;19.26;-5.59;3.17
54.89;19.26;-5.6;3.17
54.9;19.26;-5.6;3.17
54.91;19.26;-5.61;3.17
54.92;19.26;-5.61;3.17
54.93;19.26;-5.62;3.17
54.94;19.26;-5.62;3.17
54.95;19.26;-5.63;3.17
54.96;19.26;-5.63;3.17
54.97;19.26;-5.63;3.18
54.97;19.26;-5.63;3.18
54.98;19.26;-5.63;3.19
54.99;19.26;-5.63;3.19
55;19.26;-5.63;3.19
55.01;19.26;-5.64;3.19
55.02;19.26;-5.65;3.19
55.03;19.26;-5.66;3.19
55.04;19.26;-5.67;3.19
55.05;19.26;-5.68;3.18
55.06;19.26;-5.69;3.18
55.06;19.26;-5.7;3.17
55.07;19.26;-5.71;3.17
55.08;19.26;-5.71;3.17
55.09;19.26;-5.72;3.17
55.1;19.26;-5.72;3.17
55.11;19.26;-5.73;3.17
55.12;19.26;-5.73;3.17
55.13;19.26;-5.74;3.18
55.14;19.26;-5.75;3.18
55.15;19.26;-5.76;3.18
55.15;19.26;-5.77;3.18
55.16;19.26;-5.78;3.18
55.17;19.26;-5.79;3.18
55.18;19.26;-5.8;3.18
55.19;19.26;-5.81;3.18
55.2;19.26;-5.81;3.18
55.21;19.26;-5.83;3.18
55.22;19.26;-5.83;3.17
55.23;19.26;-5.84;3.17
55.24;19.26;-5.85;3.17
55.24;19.26;-5.86;3.17
55.25;19.26;-5.87;3.17
55.26;19.26;-5.89;3.17
55.27;19.26;-5.9;3.17
55.28;19.26;-5.91;3.17
55.29;19.26;-5.93;3.17
55.3;19.26;-5.95;3.16
55.31;19.26;-5.97;3.16
55.32;19.26;-5.99;3.16
55.33;19.26;-6.01;3.15
55.33;19.26;-6.04;3.15
55.34;19.26;-6.07;3.14
55.35;19.26;-6.11;3.12
55.36;19.26;-6.15;3.1
55.37;19.26;-6.2;3.07
55.38;19.26;-6.25;3.03
55.39;19.26;-6.31;2.98
55.4;19.26;-6.37;2.9
55.41;19.26;-6.44;2.8
55.42;19.26;-6.49;2.66
55.42;19.26;-6.53;2.49
55.43;19.26;-6.51;2.25
55.44;19.26;-6.41;1.95
55.45;19.26;-6.12;1.55
55.46;19.26;-5.44;1.04
54.36;19.27;-8.94;0.42
54.37;19.27;-8.96;1.14
54.38;19.27;-8.79;1.68
54.39;19.27;-8.55;2.08
54.4;19.27;-8.29;2.39
54.41;19.27;-8.03;2.64
54.42;19.27;-7.78;2.83
54.43;19.27;-7.56;2.98
54.43;19.27;-7.35;3.1
54.44;19.27;-7.17;3.19
54.45;19.27;-7;3.26
54.46;19.27;-6.86;3.32
54.47;19.27;-6.73;3.36
54.48;19.27;-6.62;3.38
54.49;19.27;-6.54;3.4
54.5;19.27;-6.47;3.4
54.51;19.27;-6.41;3.41
54.52;19.27;-6.36;3.4
54.52;19.27;-6.32;3.39
54.53;19.27;-6.29;3.39
54.54;19.27;-6.26;3.38
54.55;19.27;-6.24;3.37
54.56;19.27;-6.22;3.36
54.57;19.27;-6.19;3.35
54.58;19.27;-6.17;3.34
54.59;19.27;-6.15;3.33
54.6;19.27;-6.12;3.33
54.61;19.27;-6.1;3.33
54.61;19.27;-6.07;3.33
54.62;19.27;-6.05;3.32
54.63;19.27;-6.02;3.32
54.64;19.27;-5.99;3.32
54.65;19.27;-5.97;3.33
54.66;19.27;-5.94;3.33
54.67;19.27;-5.91;3.33
54.68;19.27;-5.89;3.33
54.69;19.27;-5.86;3.33
54.7;19.27;-5.83;3.33
54.7;19.27;-5.8;3.33
54.71;19.27;-5.77;3.34
54.72;19.27;-5.75;3.34
54.73;19.27;-5.72;3.34
54.74;19.27;-5.7;3.34
54.75;19.27;-5.68;3.34
54.76;19.27;-5.66;3.34
54.77;19.27;-5.64;3.34
54.78;19.27;-5.62;3.34
54.79;19.27;-5.61;3.34
54.79;19.27;-5.6;3.34
54.8;19.27;-5.59;3.34
54.81;19.27;-5.59;3.33
54.82;19.27;-5.59;3.33
54.83;19.27;-5.59;3.33
54.84;19.27;-5.59;3.32
54.85;19.27;-5.6;3.32
54.86;19.27;-5.6;3.32
54.87;19.27;-5.61;3.31
54.88;19.27;-5.62;3.31
54.88;19.27;-5.62;3.31
54.89;19.27;-5.63;3.31
54.9;19.27;-5.64;3.3
54.91;19.27;-5.64;3.3
54.92;19.27;-5.65;3.3
54.93;19.27;-5.66;3.3
54.94;19.27;-5.66;3.3
54.95;19.27;-5.66;3.31
54.96;19.27;-5.67;3.31
54.97;19.27;-5.66;3.31
54.97;19.27;-5.66;3.32
54.98;19.27;-5.67;3.32
54.99;19.27;-5.67;3.32
55;19.27;-5.67;3.32
55.01;19.27;-5.67;3.33
55.02;19.27;-5.68;3.33
55.03;19.27;-5.69;3.33
55.04;19.27;-5.7;3.32
55.05;19.27;-5.71;3.32
55.06;19.27;-5.72;3.32
55.06;19.27;-5.73;3.31
55.07;19.27;-5.74;3.31
55.08;19.27;-5.74;3.31
55.09;19.27;-5.75;3.31
55.1;19.27;-5.76;3.31
55.11;19.27;-5.76;3.31
55.12;19.27;-5.77;3.31
55.13;19.27;-5.78;3.31
55.14;19.27;-5.79;3.31
55.15;19.27;-5.79;3.31
55.15;19.27;-5.8;3.31
55.16;19.27;-5.81;3.31
55.17;19.27;-5.82;3.31
55.18;19.27;-5.83;3.31
55.19;19.27;-5.84;3.31
55.2;19.27;-5.84;3.31
55.21;19.27;-5.85;3.31
55.22;19.27;-5.86;3.31
55.23;19.27;-5.87;3.31
55.24;19.27;-5.88;3.3
55.24;19.27;-5.89;3.3
55.25;19.27;-5.9;3.3
55.26;19.27;-5.91;3.3
55.27;19.27;-5.92;3.3
55.28;19.27;-5.94;3.3
55.29;19.27;-5.95;3.3
55.3;19.27;-5.97;3.3
55.31;19.27;-5.99;3.3
55.32;19.27;-6.01;3.3
55.33;19.27;-6.04;3.29
55.33;19.27;-6.07;3.29
55.34;19.27;-6.1;3.28
55.35;19.27;-6.14;3.26
55.36;19.27;-6.18;3.24
55.37;19.27;-6.23;3.21
55.38;19.27;-6.29;3.17
55.39;19.27;-6.35;3.11
55.4;19.27;-6.42;3.03
55.41;19.27;-6.49;2.92
55.42;19.27;-6.55;2.77
55.42;19.27;-6.59;2.58
55.43;19.27;-6.58;2.34
55.44;19.27;-6.47;2.01
55.45;19.27;-6.18;1.6
55.46;19.27;-5.49;1.07
54.36;19.29;-8.17;0.36
54.37;19.29;-8.95;1.07
54.38;19.29;-8.89;1.66
54.39;19.29;-8.66;2.08
54.4;19.29;-8.4;2.4
54.41;19.29;-8.13;2.66
54.42;19.29;-7.88;2.86
54.43;19.29;-7.65;3.02
54.43;19.29;-7.43;3.15
54.44;19.29;-7.24;3.26
54.45;19.29;-7.06;3.33
54.46;19.29;-6.91;3.39
54.47;19.29;-6.78;3.44
54.48;19.29;-6.67;3.46
54.49;19.29;-6.58;3.48
54.5;19.29;-6.5;3.49
54.51;19.29;-6.44;3.49
54.52;19.29;-6.39;3.49
54.52;19.29;-6.35;3.49
54.53;19.29;-6.31;3.48
54.54;19.29;-6.28;3.47
54.55;19.29;-6.26;3.46
54.56;19.29;-6.23;3.45
54.57;19.29;-6.21;3.45
54.58;19.29;-6.18;3.44
54.59;19.29;-6.16;3.43
54.6;19.29;-6.13;3.43
54.61;19.29;-6.11;3.42
54.61;19.29;-6.08;3.42
54.62;19.29;-6.06;3.42
54.63;19.29;-6.03;3.42
54.64;19.29;-6;3.42
54.65;19.29;-5.98;3.42
54.66;19.29;-5.95;3.42
54.67;19.29;-5.93;3.42
54.68;19.29;-5.9;3.43
54.69;19.29;-5.87;3.43
54.7;19.29;-5.84;3.43
54.7;19.29;-5.81;3.43
54.71;19.29;-5.78;3.43
54.72;19.29;-5.76;3.44
54.73;19.29;-5.73;3.44
54.74;19.29;-5.71;3.44
54.75;19.29;-5.68;3.44
54.76;19.29;-5.66;3.44
54.77;19.29;-5.64;3.44
54.78;19.29;-5.63;3.44
54.79;19.29;-5.61;3.44
54.79;19.29;-5.6;3.44
54.8;19.29;-5.6;3.44
54.81;19.29;-5.59;3.44
54.82;19.29;-5.59;3.43
54.83;19.29;-5.59;3.43
54.84;19.29;-5.59;3.43
54.85;19.29;-5.6;3.42
54.86;19.29;-5.6;3.42
54.87;19.29;-5.61;3.42
54.88;19.29;-5.62;3.41
54.88;19.29;-5.63;3.41
54.89;19.29;-5.64;3.41
54.9;19.29;-5.64;3.41
54.91;19.29;-5.65;3.4
54.92;19.29;-5.66;3.4
54.93;19.29;-5.67;3.4
54.94;19.29;-5.67;3.4
54.95;19.29;-5.68;3.4
54.96;19.29;-5.68;3.41
54.97;19.29;-5.68;3.41
54.97;19.29;-5.68;3.41
54.98;19.29;-5.68;3.42
54.99;19.29;-5.68;3.42
55;19.29;-5.68;3.42
55.01;19.29;-5.68;3.42
55.02;19.29;-5.69;3.43
55.03;19.29;-5.7;3.42
55.04;19.29;-5.7;3.42
55.05;19.29;-5.71;3.42
55.06;19.29;-5.72;3.42
55.06;19.29;-5.73;3.41
55.07;19.29;-5.74;3.41
55.08;19.29;-5.75;3.41
55.09;19.29;-5.76;3.41
55.1;19.29;-5.77;3.41
55.11;19.29;-5.78;3.4
55.12;19.29;-5.78;3.4
55.13;19.29;-5.79;3.4
